Wall time,Step,Value
1610299342.8932958,1,0.24709302186965942
1610299403.199813,2,0.3401162922382355
1610299465.3050985,3,0.40697672963142395
1610299527.4779844,4,0.4520348906517029
1610299588.963896,5,0.4636628031730652
1610299651.392856,6,0.5014534592628479
1610299713.0388453,7,0.5276162624359131
1610299774.5990696,8,0.5566860437393188
1610299836.5197783,9,0.6031976938247681
1610299897.1545463,10,0.632267415523529
1610299959.651387,11,0.6497092843055725
1610300021.1447496,12,0.6686046719551086
1610300080.6719573,13,0.707848846912384
1610300141.0341954,14,0.7325581312179565
1610300202.6753104,15,0.7383720874786377
1610300261.6891766,16,0.7688953280448914
1610300320.6570456,17,0.7776162624359131
1610300381.8884144,18,0.8037790656089783
1610300442.787339,19,0.8255813717842102
1610300503.494601,20,0.8357558250427246
1610300563.7326057,21,0.8488371968269348
1610300625.1480484,22,0.882267415523529
1610300687.1448758,23,0.8938953280448914
1610300747.8463006,24,0.9011628031730652
1610300807.7027698,25,0.9011628031730652
