Wall time,Step,Value
1610301901.7499266,1,2.2965869903564453
1610301963.6230109,2,2.2691335678100586
1610302024.8541555,3,2.2468321323394775
1610302086.1932452,4,2.2279322147369385
1610302147.8312345,5,2.2085068225860596
1610302207.754153,6,2.179382801055908
1610302267.8326175,7,2.1675865650177
1610302328.4359777,8,2.137166976928711
1610302387.7983263,9,2.124352216720581
1610302447.6654837,10,2.1081855297088623
1610302507.7290173,11,2.096086263656616
1610302568.8036997,12,2.0746777057647705
1610302628.4162295,13,2.0424160957336426
1610302691.813519,14,2.0491199493408203
1610302753.0626986,15,2.0157265663146973
1610302813.9765127,16,1.9948077201843262
1610302875.0734508,17,1.9687528610229492
1610302938.4928238,18,1.9585192203521729
1610302998.8942096,19,1.9372013807296753
1610303059.7869408,20,1.9246164560317993
1610303120.6658163,21,1.907707691192627
1610303181.4468408,22,1.8961793184280396
1610303243.4160733,23,1.870322346687317
1610303307.0420017,24,1.8580310344696045
1610303367.7251701,25,1.8424240350723267
