Wall time,Step,Value
1610296917.0693772,1,1.712362289428711
1610296977.9604928,2,1.8999263048171997
1610297041.1197553,3,4.1016411781311035
1610297103.9148366,4,1.5060615539550781
1610297166.3916283,5,2.5692148208618164
1610297228.3575537,6,1.7854751348495483
1610297292.0742505,7,1.2939635515213013
1610297353.3250668,8,1.1647930145263672
1610297414.840729,9,1.2157255411148071
1610297474.702421,10,0.7184279561042786
1610297535.2531047,11,0.6736193895339966
1610297597.9623752,12,0.5194717645645142
1610297661.4075396,13,0.7171905040740967
1610297724.5522034,14,0.3233509361743927
1610297787.6611645,15,0.5908988118171692
1610297848.9721217,16,0.34161558747291565
1610297911.4283059,17,0.35877725481987
1610297974.018371,18,0.26754090189933777
1610298036.37754,19,0.14505766332149506
1610298098.4639978,20,0.23192888498306274
1610298161.2052312,21,0.19156458973884583
1610298223.2419426,22,0.1364501416683197
1610298282.9936674,23,0.15959574282169342
1610298342.7123895,24,0.2571541666984558
1610298403.47956,25,0.20656226575374603
