Wall time,Step,Value
1610229821.9928577,1,0.3139534890651703
1610229872.7528052,2,0.42151162028312683
1610229923.3305373,3,0.47965115308761597
1610229972.19171,4,0.5595930218696594
1610230021.375946,5,0.6017441749572754
1610230069.5218189,6,0.645348846912384
1610230119.3965268,7,0.625
1610230168.5324311,8,0.7151162624359131
1610230218.2161753,9,0.7398256063461304
1610230267.2822192,10,0.7834302186965942
1610230316.5271907,11,0.7936046719551086
1610230367.0511048,12,0.7979651093482971
1610230416.3710184,13,0.7805232405662537
1610230465.3007107,14,0.8473837375640869
1610230514.6694887,15,0.8401162624359131
