Wall time,Step,Value
1610227832.157419,1,0.24563953280448914
1610227882.157454,2,0.3357558250427246
1610227932.1316583,3,0.4113371968269348
1610227982.5926263,4,0.5261628031730652
1610228031.753053,5,0.5566860437393188
1610228080.335022,6,0.520348846912384
1610228129.256756,7,0.5857558250427246
1610228178.4302893,8,0.645348846912384
1610228227.6056714,9,0.6279069781303406
1610228276.8619888,10,0.6613371968269348
1610228325.9890747,11,0.6845930218696594
1610228376.9707143,12,0.6787790656089783
1610228428.5071616,13,0.7020348906517029
1610228479.8167758,14,0.7354651093482971
1610228528.814992,15,0.7340116500854492
