Wall time,Step,Value
1610290460.498496,1,0.364825576543808
1610290520.299527,2,0.5857558250427246
1610290580.4197013,3,0.805232584476471
1610290640.0507374,4,0.9258720874786377
1610290699.6317368,5,0.9258720874786377
1610290759.1015882,6,0.8255813717842102
1610290817.8837206,7,0.9505813717842102
1610290876.6525784,8,0.9854651093482971
1610290935.6363301,9,0.9723837375640869
1610290994.4087257,10,0.9651162624359131
1610291052.838224,11,0.9215116500854492
1610291111.1761234,12,0.9811046719551086
1610291169.7436433,13,0.9883720874786377
1610291228.2604263,14,0.992732584476471
1610291286.8640327,15,0.9854651093482971
