Wall time,Step,Value
1610288397.957811,1,20.67721939086914
1610288457.6556714,2,1.2341418266296387
1610288517.0259469,3,0.6792575120925903
1610288576.5555146,4,0.32461827993392944
1610288636.1119955,5,0.3678135573863983
1610288694.9012005,6,0.16852445900440216
1610288752.8616185,7,0.09746754914522171
1610288811.4044034,8,0.06721297651529312
1610288869.4425592,9,0.07375961542129517
1610288927.5511587,10,0.13329432904720306
1610288985.8509471,11,0.12848864495754242
1610289044.1993797,12,0.09813358634710312
1610289102.1897514,13,0.060122549533843994
1610289160.415415,14,0.06663551926612854
1610289218.3219645,15,0.0438196174800396
