Wall time,Step,Value
1610254250.2167683,1,2.5254311561584473
1610254309.5765996,2,1.3058656454086304
1610254369.0502002,3,0.5821577906608582
1610254428.5584419,4,0.5726847648620605
1610254488.0470352,5,0.35337358713150024
1610254547.6611655,6,0.2672901451587677
1610254606.558312,7,0.26105818152427673
1610254665.1828656,8,0.034291211515665054
1610254723.5661626,9,0.04950543865561485
1610254782.1689594,10,0.06828681379556656
1610254843.2707193,11,0.05314308777451515
1610254904.2513866,12,0.022630425170063972
1610254966.2195153,13,0.008911396376788616
1610255026.7219994,14,0.019146976992487907
1610255086.9913979,15,0.07939977943897247
