Wall time,Step,Value
1610287395.1888392,1,3.8088414669036865
1610287456.1603067,2,2.0267512798309326
1610287517.062822,3,1.3021178245544434
1610287577.881037,4,1.2827221155166626
1610287638.6574218,5,1.0995641946792603
1610287698.695312,6,1.130484700202942
1610287757.9422295,7,1.1733660697937012
1610287817.5715816,8,0.8595412969589233
1610287877.2554705,9,0.6873449683189392
1610287936.5249617,10,0.6838242411613464
1610287995.7540352,11,0.6181011199951172
1610288055.5121381,12,0.676804780960083
1610288115.0868347,13,0.5014896392822266
1610288174.800726,14,0.40745076537132263
1610288236.7529607,15,0.5193450450897217
