Wall time,Step,Value
1610287395.1888998,1,0.2892441749572754
1610287456.1603734,2,0.3720930218696594
1610287517.0628877,3,0.5450581312179565
1610287577.8811002,4,0.5683139562606812
1610287638.657482,5,0.6191860437393188
1610287698.6953769,6,0.6191860437393188
1610287757.9422922,7,0.6191860437393188
1610287817.5716522,8,0.6904069781303406
1610287877.2555897,9,0.7601743936538696
1610287936.525027,10,0.7674418687820435
1610287995.7540994,11,0.792151153087616
1610288055.5122561,12,0.7659883499145508
1610288115.0869105,13,0.8430232405662537
1610288174.8007934,14,0.8648256063461304
1610288236.7530239,15,0.8154069781303406
