Wall time,Step,Value
1610254250.2168455,1,0.4142441749572754
1610254309.5766678,2,0.5639534592628479
1610254369.0502617,3,0.819767415523529
1610254428.558501,4,0.8313953280448914
1610254488.0471003,5,0.8808139562606812
1610254547.6612265,6,0.9011628031730652
1610254606.5583723,7,0.917151153087616
1610254665.1829367,8,0.992732584476471
1610254723.5662293,9,0.9840116500854492
1610254782.169023,10,0.9840116500854492
1610254843.2708066,11,0.9883720874786377
1610254904.2514935,12,0.9941860437393188
1610254966.2195783,13,1.0
1610255026.7220602,14,0.9941860437393188
1610255086.9914834,15,0.9680232405662537
