Wall time,Step,Value
1610293103.8062496,1,0.2485465109348297
1610293164.3700058,2,0.39389535784721375
1610293224.7897174,3,0.4738371968269348
1610293285.6364207,4,0.5581395626068115
1610293346.137453,5,0.582848846912384
1610293406.8383648,6,0.5973837375640869
1610293466.0342238,7,0.6598837375640869
1610293525.3101788,8,0.7180232405662537
1610293584.5666919,9,0.7180232405662537
1610293644.1790109,10,0.7776162624359131
1610293703.8800557,11,0.8241279125213623
1610293763.2555518,12,0.7122092843055725
1610293822.5834587,13,0.8691860437393188
1610293881.7256403,14,0.8037790656089783
1610293940.8020985,15,0.8270348906517029
