Wall time,Step,Value
1610303469.3736699,1,0.375
1610303530.3400102,2,0.47093021869659424
1610303591.1562836,3,0.5668604373931885
1610303651.6562893,4,0.6206395626068115
1610303712.3655527,5,0.7645348906517029
1610303771.7462096,6,0.7718023061752319
1610303832.1164384,7,0.75
1610303892.3582313,8,0.8357558250427246
1610303954.3477602,9,0.8706395626068115
1610304013.3393364,10,0.8837209343910217
1610304073.858025,11,0.8793604373931885
1610304134.6522467,12,0.930232584476471
1610304193.6164446,13,0.9200581312179565
1610304254.1134508,14,0.9258720874786377
1610304314.8581576,15,0.9316860437393188
1610304373.6869664,16,0.9345930218696594
1610304432.49632,17,0.9462209343910217
1610304492.1257234,18,0.9505813717842102
1610304551.8229768,19,0.9593023061752319
1610304611.126504,20,0.9651162624359131
1610304670.9139497,21,0.9563953280448914
1610304730.0784678,22,0.9607558250427246
1610304789.1011496,23,0.957848846912384
1610304848.3236148,24,0.9622092843055725
1610304909.0893464,25,0.9636628031730652
