Wall time,Step,Value
1610305707.6249917,1,1.7675992250442505
1610305768.5783455,2,2.901233434677124
1610305828.6127017,3,2.113999128341675
1610305889.2070668,4,1.9689375162124634
1610305949.2468948,5,1.3066035509109497
1610306010.0043566,6,0.7851809859275818
1610306071.1960742,7,0.6688086986541748
1610306132.0343719,8,0.5818881392478943
1610306191.0179193,9,0.5085333585739136
1610306250.9737723,10,0.45962080359458923
1610306310.1028378,11,0.4462451636791229
1610306369.2062001,12,0.44609299302101135
1610306428.3630219,13,0.41157108545303345
1610306488.0586333,14,0.47105443477630615
1610306548.2391841,15,0.42702850699424744
1610306607.7304652,16,0.43401044607162476
1610306666.6120832,17,0.4251857101917267
1610306727.5394425,18,0.4094214141368866
1610306786.6633952,19,0.44997313618659973
1610306846.2342632,20,0.42221713066101074
1610306905.1740859,21,0.42118045687675476
1610306964.3744352,22,0.4036458432674408
1610307023.6603765,23,0.4482540488243103
1610307085.158218,24,0.4200373888015747
1610307147.6445591,25,0.43414920568466187
