Wall time,Step,Value
1610299342.8931959,1,2.166341543197632
1610299403.1997428,2,2.016962766647339
1610299465.3050277,3,1.8582528829574585
1610299527.4779139,4,1.6981440782546997
1610299588.963824,5,1.6072317361831665
1610299651.3927965,6,1.4935581684112549
1610299713.038771,7,1.4114787578582764
1610299774.599006,8,1.3147002458572388
1610299836.5196705,9,1.2196177244186401
1610299897.1544864,10,1.1570171117782593
1610299959.6513267,11,1.0876173973083496
1610300021.1446784,12,0.9920154213905334
1610300080.671856,13,0.9186519980430603
1610300141.0341344,14,0.8546932339668274
1610300202.6752415,15,0.8058063387870789
1610300261.6891177,16,0.7440192103385925
1610300320.6569865,17,0.6754892468452454
1610300381.8883426,18,0.6418586373329163
1610300442.7872732,19,0.5769992470741272
1610300503.4945416,20,0.5457576513290405
1610300563.7325335,21,0.5268207788467407
1610300625.147986,22,0.45324596762657166
1610300687.1448174,23,0.4153802990913391
1610300747.8462129,24,0.38519051671028137
1610300807.7027106,25,0.36230140924453735
