Wall time,Step,Value
1610226995.912423,1,2.0617353916168213
1610227047.8716645,2,1.8357115983963013
1610227099.865735,3,1.6690298318862915
1610227152.159491,4,1.5532909631729126
1610227204.1202648,5,1.4776718616485596
1610227256.0630517,6,1.3676913976669312
1610227308.2278876,7,1.32367742061615
1610227360.3706052,8,1.2202409505844116
1610227412.592706,9,1.1802630424499512
1610227464.9713397,10,1.1375733613967896
1610227518.2671087,11,1.0914686918258667
1610227570.8830607,12,1.038356900215149
1610227622.9130452,13,1.0013450384140015
1610227675.2316844,14,0.9670884609222412
1610227727.6284761,15,0.9554886817932129
