Wall time,Step,Value
1610285339.6160629,1,0.26598837971687317
1610285403.3312714,2,0.45494186878204346
1610285463.8521323,3,0.75
1610285525.138,4,0.7965116500854492
1610285585.7704365,5,0.8735465407371521
1610285645.2468631,6,0.7805232405662537
1610285704.8023489,7,0.9186046719551086
1610285764.4369316,8,0.9287790656089783
1610285823.872202,9,0.9825581312179565
1610285883.3448405,10,0.9811046719551086
1610285942.6785958,11,0.9912790656089783
1610286001.7547174,12,0.992732584476471
1610286061.003827,13,0.9781976938247681
1610286120.5456927,14,0.9723837375640869
1610286181.417159,15,0.9825581312179565
